"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Giannis Antetokounmpo","Mil","F","30","19","34.8","36.8","14.4","216","0.611","379","0.631","14","0.214","0.62","0.634","32.6","11.6","6.6","0.5","1.3","3.5","44.2","39.2","50.8","15.6","123.2","105.6"
"","LaMelo Ball","Cha","G","23.3","18","34.1","39.8","15.3","105","0.848","213","0.512","236","0.356","0.523","0.564","31.1","5.4","6.9","1.1","0.2","4.5","36.4","38","43.4","12.3","111.2","106.4"
"","Nikola Jokic","Den","C","29.8","17","37.7","30.1","15.4","104","0.817","275","0.575","72","0.5","0.611","0.648","29.9","13.4","10.4","1.8","0.8","3.7","43.4","40.4","53.8","17.1","129.7","108.8"
"","Shai Gilgeous-Alexander","Okc","G","26.4","22","34.1","33.4","11.3","175","0.857","316","0.585","138","0.326","0.556","0.617","29.8","5.4","6.4","1.8","1","2.6","35.2","36.2","41.6","11.8","123.2","104"
"","Paolo Banchero","Orl","F","22.1","5","36.4","31.9","10.2","59","0.644","65","0.569","32","0.344","0.552","0.59","29","8.8","5.6","0.6","0.8","2.2","37.8","34.6","43.4","12.4","120.8","103.2"
"","Luka Doncic","Dal","F-G","25.8","17","36.6","33.1","12.8","117","0.752","212","0.538","168","0.339","0.525","0.564","28.6","8","7.9","1.8","0.4","3.3","36.6","36.5","44.5","13.3","115","104.4"
"","Jayson Tatum","Bos","F-G","26.8","21","36.4","31.5","12.8","162","0.802","201","0.542","222","0.374","0.552","0.604","28.4","8.6","5.6","1.3","0.6","3","37","34","42.7","12.2","119.2","104.6"
"","Anthony Davis","Lal","F-C","31.7","21","35.2","29.8","9.3","186","0.78","338","0.553","43","0.349","0.55","0.609","26.9","11.3","3.4","1.2","1.9","1.9","38.1","30.2","41.5","11.5","123","110.7"
"","De'Aaron Fox","Sac","G","27","23","37.7","30.6","15.1","142","0.803","323","0.551","145","0.338","0.537","0.582","26.8","5.1","5.8","1.9","0.2","3.6","31.9","32.7","37.7","9.8","112","110"
"","Anthony Edwards","Min","G","23.3","21","36.4","30.6","12.6","95","0.8","207","0.464","222","0.423","0.552","0.584","26.2","5.5","3.7","1.4","0.6","3","31.7","29.9","35.4","8.9","110.2","106.8"
"","Damian Lillard","Mil","G","34.4","18","35.8","29.1","14","126","0.921","152","0.533","167","0.377","0.55","0.624","25.9","4.4","7.5","0.9","0.2","2.9","30.4","33.4","37.9","10.6","123.8","113"
"","Kevin Durant","Pho","F","36.2","13","35.7","28.6","16.1","75","0.8","146","0.582","78","0.449","0.614","0.652","25.8","6.7","3.1","0.5","1.5","3.3","32.5","28.8","35.5","9.1","112.8","113.1"
"","Karl-Anthony Towns","Nyk","C-F","29.1","21","33.7","28.4","11.9","119","0.857","247","0.567","109","0.45","0.6","0.648","25.2","13.2","3","0.8","0.9","2.3","38.4","28.2","41.4","11.9","126.6","102.6"
